final-fantasy-vii-crisis-core;Crisis Core: Final Fantasy VII;Role-Playing;Square Enix;83;2008-03-24 00:00:00.000000
medievil;MediEvil: Resurrection;Action,Adventure;SCEE;66;2005-09-13 00:00:00.000000
mach-modified-air-combat-heroes;M.A.C.H. Modified Air Combat Heroes;Action;VU Games;65;2007-02-20 00:00:00.000000
the-3rd-birthday;The 3rd Birthday;Action;HexaDrive;71;2011-03-29 00:00:00.000000
ace-combat-x-skies-of-deception;Ace Combat X: Skies of Deception;Simulation;Project Aces;75;2006-10-23 00:00:00.000000
marvel-2;Marvel: Ultimate Alliance 2;Role-Playing;Savage Entertainment;0;2009-09-22 00:00:00.000000
fading-shadows;Fading Shadows;Miscellaneous;Ivolgamus;62;2008-07-03 00:00:00.000000
grand-theft-auto-chinatown-wars;Grand Theft Auto: Chinatown Wars;Action,Adventure;Rockstar Leeds;90;2009-10-20 00:00:00.000000
wipeout-pure;Wipeout Pure;Driving;Studio Liverpool;88;2005-03-16 00:00:00.000000
socom-u-s--navy-seals-fireteam-bravo-2;SOCOM: U.S. Navy SEALs Fireteam Bravo 2;Action,Shooter,Third-Person,Tactical;Zipper Interactive / SCEA;81;2006-11-07 00:00:00.000000
mana-khemia-student-alliance;Mana Khemia: Student Alliance;Role-Playing;Gust;41;2009-03-10 00:00:00.000000
jackass;Jackass the Game;Action;Sidhe Interactive;58;2007-09-27 00:00:00.000000
ghosts-n-goblins;Ultimate Ghosts 'n Goblins;Action;TOSE;72;2006-08-29 00:00:00.000000
sega-genesis-collection;Sega Genesis Collection;Miscellaneous;Sega;82;2006-11-16 00:00:00.000000
crazy-taxi-fare-wars;Crazy Taxi: Fare Wars;Miscellaneous;Sega;64;2007-08-07 00:00:00.000000
monopoly;Monopoly;Miscellaneous;Electronic Arts;0;2010-04-15 00:00:00.000000
god-of-war-chains-of-olympus;God of War: Chains of Olympus;Action,Adventure;Ready at Dawn;91;2008-03-04 00:00:00.000000
silent-hill-origins;Silent Hill: Origins;Action,Adventure;Climax Group, Climax Studios;78;2007-11-06 00:00:00.000000
dantes-inferno;Dante's Inferno;Action;EA Redwood Shores;70;2010-03-01 00:00:00.000000
marvel-nemesis-rise-of-the-imperfects;Marvel Nemesis: Rise of the Imperfects;Action;EA Canada;58;2005-10-04 00:00:00.000000
mega-minis-volume-2;Mega Minis Volume 2;Miscellaneous,Compilation;Various / SCEE;10;2011-05-06 00:00:00.000000
motorstorm-arctic-edge;MotorStorm Arctic Edge;Driving;Bigbig Studios;79;2009-09-29 00:00:00.000000
pac-man-world-3;Pac-Man World 3;Action;Blitz Games;61;2005-12-06 00:00:00.000000
x-men-legends-ii-rise-of-apocalypse;X-Men Legends II: Rise of Apocalypse;Role-Playing;Vicarious Visions;84;2005-10-18 00:00:00.000000
juiced-2-hot-import-nights;Juiced 2: Hot Import Nights;Driving;Juice Games;73;2007-10-08 00:00:00.000000
warhammer-40k-squad-command;Warhammer 40,000: Squad Command;Strategy;RedLynx;67;2007-11-12 00:00:00.000000
b-boy;B-Boy;Miscellaneous;FreeStyleGames;50;2008-09-23 00:00:00.000000
mimana-iyar-chronicles;Mimana Iyar Chronicle;Role-Playing;GungHo;45;2010-03-30 00:00:00.000000
silent-hill-shattered-memories;Silent Hill: Shattered Memories;Action,Adventure;Climax Group;73;2010-01-19 00:00:00.000000
daxter;Daxter;Action;Ready at Dawn;85;2006-03-14 00:00:00.000000
fate-unlimited-codes;Fate/Unlimited Codes;Action;Eighting;72;2009-09-03 00:00:00.000000
undead-knights;Undead Knights;Action,Adventure;Now Production;63;2009-09-29 00:00:00.000000
fifa-12;FIFA Soccer 12;Sports;Electronic Arts;45;2011-09-27 00:00:00.000000
tony-hawks-project-8;Tony Hawk's Project 8;Sports;Page 44 Studios;68;2006-11-21 00:00:00.000000
warriors-lost-empire;Warriors of the Lost Empire;Role-Playing;Platinum Egg;52;2007-12-13 00:00:00.000000
final-fantasy-iv-complete-collection;Final Fantasy IV: The Complete Collection;Role-Playing;Bullets;77;2011-04-19 00:00:00.000000
star-soldier;Star Soldier;Action,Shooter,Shoot-'Em-Up,Vertical;Hudson;72;2005-07-21 00:00:00.000000
